Project Number,year,papersNum
5R01NS082746-03,3,3
5R01AI041576-18,18,0
5R01EY025102-02,2,0
3R01CA166588-04S1,4,0
5R01CA158598-04,4,0
5R01MH093230-04,4,0
5R01HL103684-05,5,2
5R01NS078680-04,4,0
3R01DA035659-03S1,3,0
1R01DA038635-01A1,1,0
1R01GM114771-01,1,0
5R01HL114559-02,2,0
1R01AI120209-01,1,0
5R01CA162086-05,5,4
5R01AA002686-38,38,1
5R01EY021937-04,4,0
1R01MH107540-01,1,0
5R01AG047073-03,3,0
2R01GM079190-06A1,6,0
5R01EB013427-03,3,3
5R01CA168392-05,5,0
5R01GM056423-15,15,0
5R01AG017644-16,16,3
1R01DA038261-01A1,1,0
5R01HD076189-02,2,0
5R01MH101453-03,3,0
5R01NS072414-05,5,0
2R01AI041158-15,15,0
5R01AI041420-20,20,0
5R01HD077002-03,3,0
5R01MH101268-03,3,3
1R01AG047139-01A1,1,0
5R01CA177586-02,2,0
2R01CA050385-26A1,26,10
1R01AI115703-01A1,1,0
1R01CA184718-01A1,1,0
5R01AT007317-04,4,20
5R01HD068914-05,5,5
5R01DK092421-05,5,0
1R01AT008383-01A1,1,0
7R01LM010098-07,7,4
5R01HL124020-02,2,1
5R01MH101145-02,2,0
5R01CA078343-17,17,0
1R01GM115851-01,1,0
5R01GM099471-04,4,5
5R01HG002776-12,12,23
2R01CA041101-30,30,0
5R01AR064047-04,4,0
5R01NS084818-02,2,0
5R01AG046275-02,2,0
5R01DE022912-04,4,4
5R01MH101244-03,3,2
5R01AG040081-05,5,7
5R01AI049342-12,12,3
5R01EY024581-02,2,0
5R01DK063621-14,14,0
5R01DA035857-02,2,0
1R01MH105329-01A1,1,3
5R01DK048549-28,28,0
5R01DE018281-09,9,1
5R01CA178431-02,2,1
5R01HD075635-03,3,1
5R01HD047290-10,10,1
5R01HD079398-02,2,0
3R01EY004440-32S1,32,0
5R01CA033084-32,32,2
5R01AI098943-04,4,1
5R01EY023020-03,3,0
5R01GM107557-03,3,1
5R01CA185363-02,2,4
5R01AI104499-03,3,0
5R01HL086865-08,8,0
1R01DK101413-01A1,1,0
2R01HL057181-20A1,20,2
5R01HL116434-03,3,0
2R01AI066224-11A1,11,12
5R01DK078924-06,6,0
5R01EB016096-03,3,0
5R01CA154699-06,6,0
5R01EY009852-23,23,5
5R01NS053898-09,9,1
5R01AG040629-05,5,0
5R01DK090127-03,3,0
5R01HL115955-03,3,0
6R01CA135405-08,8,0
5R01GM065494-11,11,0
5R01DA033235-03,3,1
5R01MH104134-02,2,3
1R01MH107802-01,1,0
5R01AI114380-02,2,1
5R01HL111398-04,4,0
5R01HD059852-07,7,0
7R01HD072968-03,3,0
5R01AT008422-02,2,0
1R01AI118985-01,1,1
3R01HL121706-02S1,2,2
5R01GM105956-03,3,1
7R01HL115415-03,3,1
1R01AI114926-01A1,1,0
1R01AA022701-01A1,1,0
1R01NS090634-01A1,1,0
5R01AI093256-05,5,0
5R01AI113166-02,2,0
5R01GM108040-02,2,0
2R01AI016478-36A1,36,0
5R01NR003178-13,13,6
5R01DK101720-02,2,1
5R01EY012609-16,16,1
5R01CA160079-05,5,18
2R01NS045737-12A1,12,0
5R01GM100069-04,4,0
5R01AR048179-12,12,2
1R01AG047992-01A1,1,0
5R01CA167413-03,3,1
1R01DC014453-01,1,0
5R01DE022971-05,5,3
5R01GM060475-12,12,0
5R01NS052189-12,12,4
5R01HL104184-05,5,0
2R01NS064983-06A1,6,3
5R01CA169519-03,3,7
1R01NR015738-01A1,1,0
5R01HL094505-07,7,1
5R01HL117167-02,2,0
5R01EY018926-07,7,0
5R01DK100505-02,2,2
5R01EY005945-29,29,0
5R01GM098361-04,4,8
5R01GM065334-13,13,1
5R01DA033431-04,4,0
5R01DK093938-03,3,1
1R01DE024580-01A1,1,0
5R01DE022000-05,5,1
5R01CA159227-05,5,1
2R01DC003180-19A1,19,0
5R01AG045571-02,2,0
5R01DK090489-05,5,1
5R01AI099100-03,3,0
5R01DA029150-07,7,6
5R01DK099097-03,3,6
5R01DK099276-03,3,3
5R01MH095807-04,4,0
5R01CA018138-38,38,1
1R01CA190628-01A1,1,2
2R01AI051517-11A1,11,12
5R01GM051893-18,18,0
5R01NS082007-03,3,0
5R01DK094833-04,4,0
3R01NS078018-04S1,4,0
5R01CA160620-04,4,0
5R01DK088856-05,5,0
1R01HL122815-01A1,1,0
5R01DA013185-14,14,0
1R01CA184379-01A1,1,0
5R01AA021735-02,2,0
5R01AG041831-04,4,0
1R01CA187416-01A1,1,0
5R01AG044486-02,2,0
5R01DE022549-03,3,4
5R01HL049054-22,22,0
5R01AR060834-05,5,3
5R01EY021827-05,5,0
5R01GM080266-11,11,0
5R01GM067100-12,12,0
5R01CA160394-04,4,5
5R01HD067541-05,5,1
3R01MH098060-04S1,4,0
1R01HL128056-01A1,1,0
1R01NR014852-01A1,1,0
5R01NS080928-03,3,1
1R01HL122340-01A1,1,0
5R01DC011651-05,5,0
1R01GM115562-01,1,0
5R01MH094172-05,5,0
5R01MH099167-03,3,16
5R01EY024243-02,2,0
5R01ES022054-04,4,0
5R01HL097376-06,6,3
5R01CA061774-21,21,0
5R01NS078839-05,5,3
5R01DE022327-04,4,1
3R01DA038082-02S1,2,1
1R01CA195500-01,1,0
5R01DK096239-04,4,3
5R01GM106188-02,2,0
5R01DA015446-12,12,3
1R01CA193442-01,1,0
5R01AR059853-05,5,0
5R01GM107533-02,2,0
5R01CA166701-04,4,0
5R01DK100304-02,2,0
2R01NS039587-14,14,14
3R01DA038598-02S1,2,0
5R01HD075760-03,3,3
3R01GM044783-23S1,23,0
5R01MH067924-12,12,2
1R01NS089324-01A1,1,0
2R01CA132870-06,6,1
5R01GM111735-02,2,0
2R01NS014627-38,38,0
5R01NS028478-23,23,0
5R01GM111932-02,2,0
1R01AI116313-01A1,1,0
5R01HL126559-02,2,0
5R01NR014050-03,3,1
5R01HL122123-02,2,1
5R01GM102146-03,3,0
5R01GM057391-17,17,0
5R01HD082914-02,2,0
5R01AI089956-05,5,0
5R01HL112638-03,3,3
5R01CA112557-10,10,2
5R01HL114654-04,4,0
5R01HL071625-11,11,1
5R01NS074831-04,4,3
5R01HD069439-04,4,1
5R01AG046358-03,3,1
5R01NS016446-35,35,0
5R01DA032083-05,5,3
5R01HL079109-09,9,2
5R01HG007644-02,2,1
2R01GM065546-09,9,0
1R01DK107646-01,1,0
5R01AG039628-05,5,1
5R01HG007118-03,3,0
5R01GM086874-16,16,0
5R01GM066976-12,12,0
5R01HL105732-05,5,0
1R01NS091719-01A1,1,0
5R01NS073119-06,6,6
5R01DA034538-03,3,0
5R01DA037161-03,3,0
5R01NS055251-10,10,2
5R01AI106859-02,2,0
5R01GM099108-04,4,0
1R01GM117102-01,1,0
7R01MH096767-04,4,1
2R01CA095175-11A1,11,3
3R01GM066094-11S1,11,0
5R01DK064380-11,11,1
5R01DK100892-03,3,1
5R01EY018658-07,7,0
1R01HL124091-01A1,1,1
5R01AA020510-04,4,0
1R01GM113961-01,1,0
1R01HL123331-01A1,1,0
5R01NS082308-03,3,3
5R01CA132827-05,5,2
5R01NS062019-06,6,10
2R01GM095567-05,5,1
3R01MH093303-04S1,4,0
5R01AI100879-03,3,0
5R01GM102965-03,3,0
7R01AR061002-05,5,2
3R01MH098454-03S1,3,1
1R01AR068383-01,1,0
6R01GM045751-24,24,1
2R01NS034773-15A1,15,0
1R01AI114668-01A1,1,1
5R01AI033993-21,21,0
1R01HL127692-01,1,0
5R01DK095926-02,2,0
5R01CA160700-04,4,7
5R01AR064286-03,3,0
3R01HG006838-01S1,1,0
1R01HL122372-01A1,1,0
5R01AT006880-05,5,7
7R01AA022816-02,2,0
5R01MH100635-02,2,0
5R01DK095867-03,3,1
5R01AA013750-09,9,1
5R01GM111939-02,2,1
5R01NS047723-23,23,4
1R01ES024478-01A1,1,0
5R01DA001411-41,41,7
5R01AG029631-07,7,1
5R01NS074804-05,5,0
3R01DK090360-05S1,5,0
5R01GM102192-04,4,0
5R01DK063349-10,10,3
5R01DK074720-08,8,1
2R01GM098579-05,5,0
1R01AI114523-01A1,1,0
5R01EB006835-08,8,1
3R01GM094299-05S1,5,0
5R01NR012003-05,5,2
5R01DK067536-11,11,0
5R01CA187342-02,2,0
5R01HL120957-02,2,0
5R01CA157467-05,5,6
3R01DA036865-03S1,3,20
5R01AG040217-05,5,1
5R01CA172570-03,3,0
1R01DA040532-01,1,0
6R01DK091466-05,5,0
5R01GM110092-02,2,0
5R01HL111070-04,4,0
5R01EY011008-20,20,4
5R01GM096967-04,4,0
5R01HL119538-02,2,0
7R01GM038006-28,28,0
2R01AG033678-06A1,6,7
2R01AI041649-15,15,1
5R01MH100923-02,2,0
3R01GM085105-07S1,7,5
5R01MH104158-02,2,0
5R01CA166794-04,4,2
1R01CA187273-01A1,1,0
5R01NS090934-20,20,1
5R01GM093066-05,5,3
5R01AI059639-09,9,0
1R01NS092701-01A1,1,0
5R01HL125032-02,2,0
5R01AI065495-08,8,0
1R01DA040449-01,1,0
1R01GM112720-01,1,1
5R01GM105931-02,2,5
5R01HL055936-19,19,0
5R01DE023534-02,2,0
5R01AI104494-02,2,0
5R01MH062962-14,14,1
5R01AI105170-03,3,0
1R01DA040390-01,1,0
5R01GM084333-06,6,0
2R01HL068854-14,14,0
5R01EY024544-02,2,6
5R01DK039308-28,28,16
5R01HL110951-04,4,0
5R01AI110340-02,2,0
5R01NS027881-20,20,0
5R01EB014742-03,3,1
5R01GM108975-02,2,0
1R01NS093872-01,1,0
1R01AI116933-01A1,1,0
5R01GM100984-03,3,2
5R01DK100357-02,2,0
5R01NS088578-02,2,2
1R01GM115547-01,1,0
1R01HL123797-01A1,1,0
1R01MH107474-01,1,0
2R01GM072558-10A1,10,1
3R01HL071546-11S1,11,6
5R01GM097355-04,4,0
5R01GM107129-02,2,1
5R01CA130988-07,7,0
5R01CA157919-05,5,0
2R01CA095286-10A1,10,2
1R01DE024732-01A1,1,0
5R01NS044133-13,13,3
5R01DK091347-05,5,1
5R01HL111077-04,4,0
3R01DA034116-03S1,3,3
5R01MH060919-14,14,0
1R01MH106369-01,1,0
1R01GM108753-01A1,1,0
5R01GM098772-04,4,5
5R01CA164166-03,3,0
5R01ES020382-05,5,3
3R01AI100005-04S1,4,1
5R01GM110525-02,2,0
5R01CA154915-05,5,5
1R01GM107465-01A1,1,0
5R01GM079429-08,8,33
5R01HL065095-16,16,0
1R01HL126909-01,1,0
5R01AI111364-02,2,0
5R01HL116630-03,3,1
5R01CA164490-05,5,0
5R01AI094561-05,5,0
1R01HL126928-01,1,0
1R01AI110480-01A1,1,0
1R01CA189224-01A1,1,6
2R01GM038767-28,28,0
3R01GM031332-31S1,31,3
1R01GM113141-01A1,1,0
5R01CA164159-04,4,0
5R01MH096784-04,4,0
5R01CA120138-08,8,1
5R01HL028785-33,33,0
2R01GM081425-06A1,6,3
5R01MH046516-25,25,0
5R01EB018748-03,3,1
5R01NS081320-04,4,1
5R01AR060388-05,5,0
5R01CA094069-13,13,2
3R01GM078031-06S1,6,0
5R01CA166111-03,3,0
1R01NS092615-01,1,0
5R01DC008794-09,9,3
5R01NS038253-16,16,1
2R01HL097088-05A1,5,0
3R01GM102413-02S1,2,1
5R01DA037244-03,3,0
5R01HL086548-08,8,2
5R01EY015313-12,12,0
5R01CA082223-15,15,5
3R01GM108026-03S1,3,0
3R01CA181392-02S1,2,0
5R01AR064200-03,3,2
5R01HL117807-02,2,0
5R01HL107550-04,4,13
5R01GM106084-02,2,0
3R01ES015359-08S1,8,13
5R01DC011286-05,5,3
5R01EY021900-04,4,0
2R01EB008374-05A1,5,4
1R01AG048650-01A1,1,0
5R01AI094595-05,5,0
5R01DA034749-02,2,0
5R01GM112496-02,2,0
5R01DK100699-02,2,0
5R01GM093213-06,6,1
5R01NS073935-05,5,0
1R01CA198971-01,1,1
5R01AG041287-04,4,0
5R01AA022087-02,2,1
5R01HL117896-02,2,0
5R01MH100970-03,3,1
1R01DK106104-01,1,1
1R01NS095279-01,1,0
5R01CA179170-03,3,0
2R01EY013692-11,11,0
5R01DA036887-03,3,2
2R01NS065877-06A1,6,0
5R01MH092335-05,5,0
3R01NS089076-01A1S1,1,1
5R01ES020350-05,5,0
1R01CA196896-01,1,0
5R01HL076398-10,10,11
5R01CA169259-03,3,5
5R01AI101053-04,4,1
5R01HD049615-09,9,10
5R01EY023196-03,3,1
5R01GM109018-02,2,0
5R01MH082867-08,8,3
1R01HL122489-01A1,1,1
3R01GM108975-02S1,2,0
5R01NS090352-02,2,0
5R01GM054508-26,26,2
5R01NR013658-04,4,0
5R01NS049119-09,9,0
5R01GM080376-07,7,3
5R01CA116548-10,10,1
5R01AG046543-02,2,1
5R01DC011300-05,5,2
1R01HL130550-01,1,0
1R01GM112686-01,1,0
5R01GM067871-12,12,1
5R01CA172805-03,3,2
5R01DA035145-04,4,5
5R01CA178456-03,3,4
5R01GM106957-03,3,0
5R01AR044232-19,19,0
5R01NS038572-14,14,1
5R01GM065166-12,12,1
5R01HD072929-04,4,0
5R01HL107500-05,5,14
5R01EB014354-03,3,1
5R01GM102602-03,3,0
1R01NS093588-01,1,0
5R01DK094475-04,4,4
5R01MH073601-10,10,1
1R01GM114678-01,1,0
1R01EB021703-01,1,0
5R01DA012413-14,14,1
5R01DK098204-02,2,0
2R01HL070562-09,9,0
5R01DK095962-03,3,0
5R01DE021664-05,5,0
5R01AR061497-04,4,0
5R01MH093672-05,5,5
5R01CA077325-17,17,0
1R01NS085226-01A1,1,0
5R01AI103981-09,9,0
5R01NS036692-15,15,2
1R01NS094037-01,1,0
5R01MH060131-16,16,0
5R01MH093605-05,5,0
3R01DK085097-05S1,5,0
1R01HL128135-01,1,0
1R01NS093079-01,1,0
2R01ES005775-21,21,14
5R01AT007945-03,3,2
5R01AI113867-02,2,0
5R01MH066179-13,13,2
5R01DK043743-24,24,0
5R01NS056217-10,10,1
5R01AI102882-03,3,1
5R01CA151535-04,4,0
5R01EB006006-08,8,1
5R01HD069680-03,3,0
5R01DK042303-26,26,0
5R01DA013444-14,14,0
5R01GM097752-04,4,0
5R01CA184987-02,2,0
5R01DC012593-03,3,1
3R01HL119190-03S1,3,0
5R01CA184779-02,2,2
5R01CA095287-12,12,0
5R01MH056888-18,18,3
5R01HL117041-03,3,0
1R01HD082311-01A1,1,0
1R01GM110005-01,1,0
5R01ES024995-02,2,3
5R01EY018875-06,6,0
5R01DE021804-05,5,0
5R01GM098502-05,5,0
1R01DK108366-01,1,0
5R01HL119453-02,2,1
5R01HD072307-04,4,4
5R01AR044741-14,14,0
2R01GM097618-04A1,4,6
5R01HL092321-08,8,0
5R01DC004792-14,14,0
5R01AR063701-02,2,1
5R01DK075787-09,9,20
2R01DA004523-28A1,28,0
5R01DE022083-03,3,0
5R01EB019406-02,2,0
5R01AR059105-05,5,1
5R01CA177655-02,2,0
1R01AI118332-01,1,1
5R01GM097458-04,4,0
1R01MH102342-01A1,1,0
5R01HG007377-02,2,1
5R01NS081972-04,4,0
5R01CA152228-05,5,1
5R01NS059957-07,7,2
5R01DK093757-05,5,2
2R01GM057173-14,14,0
5R01ES019584-04,4,0
7R01AI076322-08,8,1
5R01AI100914-05,5,2
5R01CA052607-23,23,1
5R01NS048837-12,12,0
5R01HL117991-03,3,2
3R01DA037628-01A1S1,1,0
5R01HD067581-05,5,0
3R01NS077408-03S1,3,1
5R01CA087472-16,16,0
5R01AI014102-38,38,3
5R01CA155305-05,5,26
2R01CA034610-33,33,0
5R01NS083564-03,3,3
1R01DK105049-01,1,1
5R01DA032110-05,5,6
5R01CA160867-05,5,4
1R01LM011975-01A1,1,1
1R01AI110719-01A1,1,1
5R01CA151245-06,6,0
5R01GM106013-02,2,0
1R01HL121510-01A1,1,0
